x08,hdk
y08,hdk
y44,gwr
x44,gwr
vqt,z43
wbv,z43
gwr,z45
mmj,z45
fsf,hgh
jkd,hgh
scp,ctg
gbp,ctg
vfr,gjt
wqn,gjt
hsd,tqr
ktq,tqr
mkh,cbb
dsd,cbb
jgv,brv
hbm,brv
y03,kfr
x03,kfr
mdm,z32
mhn,z32
mdm,snk
mhn,snk
jgr,hnd
gvg,hnd
rpv,hpt
ksg,hpt
x00,kqn
y00,kqn
dsp,frp
jpc,frp
hdv,jtf
tcc,jtf
qbg,vgg
qbd,vgg
y12,cqg
x12,cqg
x33,twr
y33,twr
fqm,fsf
hcq,fsf
x38,mps
y38,mps
kqn,z01
knr,z01
sgj,z28
vfk,z28
x09,dqr
y09,dqr
cbb,ccj
rmq,ccj
smh,rpv
gvv,rpv
y16,bmp
x16,bmp
qqp,z10
bjg,z10
ckb,pcr
wjk,pcr
x19,fqj
y19,fqj
x07,wjk
y07,wjk
fhg,mkg
stk,mkg
bjg,dsp
qqp,dsp
y01,knr
x01,knr
jkt,z44
ghh,z44
gsb,rwd
cqg,rwd
y35,jgm
x35,jgm
qkd,qvr
hjm,qvr
hpt,vjc
vgv,vjc
vqr,hcq
cth,hcq
x12,ngj
y12,ngj
y13,ktt
x13,ktt
y09,wtn
x09,wtn
snk,mbg
fmp,mbg
ccj,gvh
fdw,gvh
y14,fdn
x14,fdn
rwd,z13
ktt,z13
x03,ttq
y03,ttq
tft,prq
vgg,prq
x04,pvm
y04,pvm
khq,ccb
nbj,ccb
gfv,jgk
wpj,jgk
x36,hcm
y36,hcm
y02,mrq
x02,mrq
y41,rdd
x41,rdd
ftk,z24
wgn,z24
hhk,rpq
fqj,rpq
x28,wgg
y28,wgg
mkg,z02
sbv,z02
thv,z36
hcm,z36
qfm,wbv
vdn,wbv
fps,kqb
qgw,kqb
tpc,mdm
rdk,mdm
jth,bng
brv,bng
bmp,z16
vjc,z16
thr,z20
rpq,z20
sct,gnq
mbg,gnq
mkg,wwd
sbv,wwd
x38,tft
y38,tft
y36,gfv
x36,gfv
x15,gvv
y15,gvv
x32,fmp
y32,fmp
x19,ndd
y19,ndd
scp,vwr
gbp,vwr
y28,sgj
x28,sgj
x18,fdw
y18,fdw
wtn,bjg
bgg,bjg
y34,ssg
x34,ssg
fcw,z37
jgk,z37
jtw,z34
ssg,z34
y11,sqv
x11,sqv
y05,qjv
x05,qjv
pcr,z08
kqg,z08
jgr,z30
gvg,z30
qvr,qts
hfp,qts
y25,rch
x25,rch
gfq,z03
kfr,z03
x11,mjt
y11,mjt
hnd,tdr
vfp,tdr
jgk,qbd
fcw,qbd
x21,hjm
y21,hjm
x10,jpc
y10,jpc
y35,qsv
x35,qsv
wgn,vfr
ftk,vfr
y39,khq
x39,khq
x20,npb
y20,npb
kfr,fdc
gfq,fdc
mbg,z33
sct,z33
x41,bdj
y41,bdj
y15,ksg
x15,ksg
y42,qfm
x42,qfm
y32,mhn
x32,mhn
gws,vfk
hgh,vfk
x34,hsd
y34,hsd
x06,z06
y06,z06
svd,gsb
ngj,gsb
rpq,bbd
thr,bbd
pvm,ctv
kdq,ctv
vjr,z29
jrr,z29
gvh,hhk
ndd,hhk
dpf,nqv
hdk,nqv
jgv,z40
hbm,z40
bdj,wkv
bhq,wkv
tft,z38
vgg,z38
khq,z39
nbj,z39
y43,qsd
x43,qsd
y43,vqt
x43,vqt
bng,z41
rdd,z41
tkp,vdn
wkv,vdn
x31,tpc
y31,tpc
x17,mkh
y17,mkh
fdf,ftk
mbh,ftk
ssg,ktq
jtw,ktq
x05,mpk
y05,mpk
hmg,thv
jgm,thv
rch,wsq
gjt,wsq
frp,tqm
sqv,tqm
kqb,z14
prr,z14
y16,vgv
x16,vgv
qkd,z21
hjm,z21
x24,wgn
y24,wgn
kkp,ckb
jcn,ckb
x31,gpp
y31,gpp
sgj,wnn
vfk,wnn
dqw,mbh
jtf,mbh
x40,jgv
y40,jgv
vgv,kfs
hpt,kfs
y40,jth
x40,jth
dqr,bgg
nqv,bgg
ngj,z12
svd,z12
y22,tcc
x22,tcc
rdd,bhq
bng,bhq
x26,fqm
y26,fqm
x22,wqd
y22,wqd
jrr,jtq
vjr,jtq
y23,dqw
x23,dqw
y18,rmq
x18,rmq
y39,mtq
x39,mtq
gpp,rdk
tdr,rdk
vwr,kkp
ctg,kkp
x23,fdf
y23,fdf
kqn,fhg
knr,fhg
kkp,z07
jcn,z07
x13,qgw
y13,qgw
tqr,z35
qsv,z35
y04,ffw
x04,ffw
njk,z17
kfs,z17
kqb,fgj
prr,fgj
dph,ghh
qsd,ghh
tgb,vqr
wsq,vqr
nqv,z09
dqr,z09
wqd,z22
qts,z22
x37,qbg
y37,qbg
prq,nbj
mps,nbj
gjt,z25
rch,z25
jtq,jgr
wnc,jgr
mjt,svd
tqm,svd
y17,njk
x17,njk
mpk,z05
ctv,z05
x25,tgb
y25,tgb
cth,z26
vqr,z26
x14,prr
y14,prr
wwd,gfq
mrq,gfq
y37,fcw
x37,fcw
mtq,hbm
ccb,hbm
y29,wnc
x29,wnc
npb,qkd
bbd,qkd
y06,gbp
x06,gbp
gpp,z31
tdr,z31
bnb,scp
qjv,scp
y24,wqn
x24,wqn
y07,jcn
x07,jcn
y10,qqp
x10,qqp
y02,sbv
x02,sbv
njk,dsd
kfs,dsd
mwb,kdq
ffw,kdq
fdn,smh
fgj,smh
kqg,dpf
pcr,dpf
sqv,z11
frp,z11
x44,jkt
y44,jkt
ghh,mmj
jkt,mmj
tkp,z42
wkv,z42
y30,vfp
x30,vfp
x30,gvg
y30,gvg
wbv,dph
vqt,dph
y27,gws
x27,gws
y08,kqg
x08,kqg
y29,jrr
x29,jrr
jkd,z27
fsf,z27
x01,stk
y01,stk
gnq,jtw
twr,jtw
x26,cth
y26,cth
wnn,vjr
wgg,vjr
y42,tkp
x42,tkp
ffw,z04
mwb,z04
gvv,z15
smh,z15
rwd,fps
ktt,fps
qsv,hmg
tqr,hmg
x33,sct
y33,sct
fdc,mwb
ttq,mwb
x00,z00
y00,z00
mpk,bnb
ctv,bnb
rmq,z18
cbb,z18
qts,hdv
wqd,hdv
ndd,z19
gvh,z19
y27,jkd
x27,jkd
thv,wpj
hcm,wpj
y21,hfp
x21,hfp
jtf,z23
dqw,z23
x20,thr
y20,thr
